# auto-mode denial manifest v1 | window 2026-07-26..2026-08-09 UTC (entry timestamps)
# source: ~/.cat-code/projects/**/*.jsonl tool_result marker "Permission for this action has been denied. Reason:"
# no commands or reason text: cmd_sha1/reason_sha1 are 12-char sha1 prefixes
transcript	ts	tool	category	cmd_sha1	reason_sha1
e382123c-edfa-4f5b-9122-df3603a924f2.jsonl	2026-07-26T07:09:35.247000+00:00	Write	temp-scratch	c20e724e95e6	c8e1b4dc95f6
e382123c-edfa-4f5b-9122-df3603a924f2.jsonl	2026-07-26T07:09:35.247000+00:00	Write	temp-scratch	c20e724e95e6	c8e1b4dc95f6
agent-a5e7e6b327a150cd4.jsonl	2026-07-27T13:05:35.582000+00:00	Bash	secrets	adad6d19671b	d89c4bae72c1
agent-a5e7e6b327a150cd4.jsonl	2026-07-27T13:05:35.582000+00:00	Bash	secrets	adad6d19671b	d89c4bae72c1
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:08:01.383000+00:00	Bash	secrets	a23840185cab	b667bcd50ad8
agent-acompact-a539b30a9bd6dcfb.jsonl	2026-07-27T13:08:01.383000+00:00	Bash	secrets	a23840185cab	b667bcd50ad8
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:08:01.383000+00:00	Bash	secrets	a23840185cab	b667bcd50ad8
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:10:52.076000+00:00	Bash	secrets	a23840185cab	1e6dba9d78ec
agent-acompact-a539b30a9bd6dcfb.jsonl	2026-07-27T13:10:52.076000+00:00	Bash	secrets	a23840185cab	1e6dba9d78ec
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:10:52.076000+00:00	Bash	secrets	a23840185cab	1e6dba9d78ec
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:16:34.711000+00:00	Write	outside-workdir	007dc9590e32	fde90c0274da
agent-acompact-a539b30a9bd6dcfb.jsonl	2026-07-27T13:16:34.711000+00:00	Write	outside-workdir	007dc9590e32	fde90c0274da
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:16:34.711000+00:00	Write	outside-workdir	007dc9590e32	fde90c0274da
b956d7e2-99bb-42fc-934c-2d4e7dc2ce98.jsonl	2026-07-27T13:30:27.194000+00:00	Bash	gui-external	a1bbb54c739b	45f987ce9bfc
